Creating model: rope_axial_deit_small_patch16_LS
number of params: 21747457
Start training for 300 epochs
Epoch: [0]  [  0/425]  eta: 0:15:38  lr: 0.000001  loss: 20798.0352 (20798.0352)  time: 2.2075  data: 1.0470  max mem: 5058
Epoch: [0]  [ 10/425]  eta: 0:02:04  lr: 0.000001  loss: 23622.0918 (23239.9895)  time: 0.3009  data: 0.0955  max mem: 5282
Epoch: [0]  [ 20/425]  eta: 0:01:25  lr: 0.000001  loss: 22864.3008 (23061.9587)  time: 0.1111  data: 0.0003  max mem: 5282
Epoch: [0]  [ 30/425]  eta: 0:01:10  lr: 0.000001  loss: 22663.3867 (22877.9047)  time: 0.1121  data: 0.0003  max mem: 5282
Epoch: [0]  [ 40/425]  eta: 0:01:02  lr: 0.000001  loss: 22111.9922 (22707.9482)  time: 0.1123  data: 0.0003  max mem: 5282
Epoch: [0]  [ 50/425]  eta: 0:00:57  lr: 0.000001  loss: 22198.7188 (22668.0524)  time: 0.1122  data: 0.0004  max mem: 5282
Epoch: [0]  [ 60/425]  eta: 0:00:53  lr: 0.000001  loss: 22334.7676 (22765.0078)  time: 0.1123  data: 0.0004  max mem: 5282
Epoch: [0]  [ 70/425]  eta: 0:00:50  lr: 0.000001  loss: 22415.5352 (22693.3087)  time: 0.1124  data: 0.0004  max mem: 5282
Epoch: [0]  [ 80/425]  eta: 0:00:47  lr: 0.000001  loss: 21929.9121 (22650.7596)  time: 0.1122  data: 0.0004  max mem: 5282
Epoch: [0]  [ 90/425]  eta: 0:00:45  lr: 0.000001  loss: 21929.9121 (22540.0282)  time: 0.1120  data: 0.0003  max mem: 5282
Epoch: [0]  [100/425]  eta: 0:00:43  lr: 0.000001  loss: 21822.9375 (22501.5160)  time: 0.1120  data: 0.0003  max mem: 5282
Epoch: [0]  [110/425]  eta: 0:00:41  lr: 0.000001  loss: 22066.5508 (22527.9722)  time: 0.1121  data: 0.0003  max mem: 5282
Epoch: [0]  [120/425]  eta: 0:00:39  lr: 0.000001  loss: 22368.0508 (22500.3394)  time: 0.1122  data: 0.0003  max mem: 5282
Epoch: [0]  [130/425]  eta: 0:00:37  lr: 0.000001  loss: 22480.7695 (22511.5293)  time: 0.1123  data: 0.0003  max mem: 5282
Epoch: [0]  [140/425]  eta: 0:00:36  lr: 0.000001  loss: 23044.6602 (22558.7858)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [150/425]  eta: 0:00:34  lr: 0.000001  loss: 22404.0293 (22560.5709)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [160/425]  eta: 0:00:33  lr: 0.000001  loss: 22510.6289 (22568.5684)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [170/425]  eta: 0:00:31  lr: 0.000001  loss: 22951.8516 (22609.9280)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [180/425]  eta: 0:00:30  lr: 0.000001  loss: 22951.8516 (22622.2542)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [190/425]  eta: 0:00:28  lr: 0.000001  loss: 22857.8594 (22632.0375)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [200/425]  eta: 0:00:27  lr: 0.000001  loss: 22438.4355 (22602.2389)  time: 0.1128  data: 0.0004  max mem: 5282
Epoch: [0]  [210/425]  eta: 0:00:26  lr: 0.000001  loss: 22119.1934 (22611.6353)  time: 0.1132  data: 0.0005  max mem: 5282
Epoch: [0]  [220/425]  eta: 0:00:24  lr: 0.000001  loss: 22208.9492 (22588.5919)  time: 0.1129  data: 0.0004  max mem: 5282
Epoch: [0]  [230/425]  eta: 0:00:23  lr: 0.000001  loss: 21732.7031 (22529.4419)  time: 0.1126  data: 0.0004  max mem: 5282
Epoch: [0]  [240/425]  eta: 0:00:22  lr: 0.000001  loss: 21093.6074 (22515.7793)  time: 0.1126  data: 0.0003  max mem: 5282
Epoch: [0]  [250/425]  eta: 0:00:21  lr: 0.000001  loss: 22266.3027 (22521.6509)  time: 0.1126  data: 0.0003  max mem: 5282
Epoch: [0]  [260/425]  eta: 0:00:19  lr: 0.000001  loss: 22829.3359 (22534.0894)  time: 0.1125  data: 0.0004  max mem: 5282
Epoch: [0]  [270/425]  eta: 0:00:18  lr: 0.000001  loss: 22719.6035 (22537.7421)  time: 0.1125  data: 0.0004  max mem: 5282
Epoch: [0]  [280/425]  eta: 0:00:17  lr: 0.000001  loss: 22714.3047 (22549.7888)  time: 0.1125  data: 0.0003  max mem: 5282
Epoch: [0]  [290/425]  eta: 0:00:16  lr: 0.000001  loss: 22682.0020 (22535.7671)  time: 0.1127  data: 0.0003  max mem: 5282
Epoch: [0]  [300/425]  eta: 0:00:14  lr: 0.000001  loss: 22284.7246 (22531.6594)  time: 0.1129  data: 0.0004  max mem: 5282
Epoch: [0]  [310/425]  eta: 0:00:13  lr: 0.000001  loss: 22147.5117 (22518.8241)  time: 0.1130  data: 0.0004  max mem: 5282
Epoch: [0]  [320/425]  eta: 0:00:12  lr: 0.000001  loss: 22289.7676 (22531.4877)  time: 0.1127  data: 0.0004  max mem: 5282
Epoch: [0]  [330/425]  eta: 0:00:11  lr: 0.000001  loss: 22593.5449 (22529.3120)  time: 0.1126  data: 0.0003  max mem: 5282
Epoch: [0]  [340/425]  eta: 0:00:10  lr: 0.000001  loss: 22166.1816 (22512.8169)  time: 0.1129  data: 0.0003  max mem: 5282
Epoch: [0]  [350/425]  eta: 0:00:08  lr: 0.000001  loss: 21781.5625 (22498.5225)  time: 0.1126  data: 0.0004  max mem: 5282
